"客層ID","ラベル","純売上","純売上(税抜)","消費税","純売上構成比","販売点数","返品数","販売点数構成比","客数","客単価"
"12","新規","315734","287149","28585","76.44","631","14","76.84","295","1070"
"11","リピーター","97291","88516","8775","23.56","211","25","23.16","103","945"
"合計","","413025","375665","37360","100","842","39","100","398","1038"
