"客層ID","ラベル","純売上","純売上(税抜)","消費税","純売上構成比","販売点数","返品数","販売点数構成比","客数","客単価"
"12","新規","484838","440861","43977","80.93","819","16","80.14","456","1063"
"11","リピーター","114248","103964","10284","19.07","203","4","19.86","115","993"
"合計","","599086","544825","54261","100","1022","20","100","571","1049"
