"客層ID","ラベル","純売上","純売上(税抜)","消費税","純売上構成比","販売点数","返品数","販売点数構成比","客数","客単価"
"3","30代","229128","208402","20726","38.25","384","4","37.92","217","1056"
"2","20代","153450","139527","13923","25.61","266","7","25.85","146","1051"
"4","40代","107004","97316","9688","17.86","186","6","17.96","103","1039"
"5","50代","62334","56693","5641","10.40","103","0","10.28","61","1022"
"1","～10代","30720","27930","2790","5.13","52","0","5.19","27","1138"
"6","60代～","16450","14957","1493","2.75","31","3","2.79","17","968"
"合計","","599086","544825","54261","100","1022","20","100","571","1049"
