"客層ID","ラベル","純売上","純売上(税抜)","消費税","純売上構成比","販売点数","返品数","販売点数構成比","客数","客単価"
"3","30代","139842","127184","12658","35.32","272","7","34.19","130","1076"
"2","20代","103970","94578","9392","26.26","236","20","27.87","105","990"
"4","40代","97764","88916","8848","24.69","195","10","23.87","99","988"
"5","50代","42010","38209","3801","10.61","86","2","10.84","37","1135"
"6","60代～","9280","8437","843","2.34","20","0","2.58","8","1160"
"1","～10代","3100","2820","280","0.78","5","0","0.65","4","775"
"合計","","395966","360144","35822","100","814","39","100","383","1034"
