"部門ID","部門コード","部門名","純売上","純売上(税抜)","消費税","原価","純売上構成比","販売点数","返品数","販売点数構成比"
"8000006","","ドリンク","222370","202237","20133","30137.8","37.12","417","4","41.22"
"8000015","","スイーツ","176600","160541","16059","49428","29.48","320","4","31.54"
"8000019","","ランチ","141200","128404","12796","33639","23.57","117","3","11.38"
"8000017","","パンケーキ","48000","43639","4361","5412","8.01","45","4","4.09"
"8000018","","テイクアウト","6516","6000","516","1500","1.09","20","0","2.00"
"8000020","","パンケーキ（セットドリンク）","4400","4004","396","0","0.73","26","4","2.20"
"8000021","","ランチ（セットドリンク）","0","0","0","0","0.00","77","1","7.58"
"合計","","","599086","544825","54261","120116.8","100","1022","20","100"
